Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Luxembourg,LUX,..,269944.8925,289658.3041,284157.5429,280476.7623,278812.2348,275813.6327,280240.2074,271034.16,264776.514,263863.9052,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Macao SAR, China",MAC,..,118830.7038,202307.5841,225028.8164,235124.791,226560.4735,104108.4848,127203.6995,107508.8144,183557.0748,194417.3983,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Madagascar,MDG,..,3835.545473,3354.318304,3389.8579,3402.658963,3456.587911,3169.808011,3211.1169,3221.81086,3254.174403,3292.015637,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Malawi,MWI,..,2999.317827,4681.712837,4835.124972,4877.577103,4981.366107,4524.653414,4946.317405,4772.165094,4696.419196,4613.042038,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Malaysia,MYS,..,48741.94807,60708.42694,62735.5048,63942.83446,65082.78763,61442.14815,62214.03069,65445.33284,66453.95054,68621.57685,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Maldives,MDV,..,42762.52983,46770.93961,46146.334,46316.38578,45944.99098,32795.52321,42346.50844,44197.10673,45956.74325,47349.63051,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Mali,MLI,..,5912.513772,7695.144167,7933.081268,8157.913215,8535.506228,8347.454737,8236.966458,8051.316383,8190.811785,8303.470109,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Malta,MLT,..,83215.81771,101464.9787,108502.3671,108883.6592,106814.6704,99395.83727,109069.0764,106014.7521,112121.2076,115954.7587,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Mauritania,MRT,..,21693.96015,28199.68186,29422.68303,29918.77398,29917.73388,29427.78024,28615.60254,29170.69313,30037.45382,30832.43273,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Mauritius,MUS,..,33879.45246,51713.50242,53144.09701,55274.39637,55991.18794,52271.63496,56372.37806,57024.50529,56330.55444,59341.5045,..
